CIRCONSCRIPTION                    ;      ;    ;       ;Deschamps           ;Dufour-Turcotte     ;Dupuis              ;Fiorilo             ;Sloan               ;      ;    
Saint-Laurent                      ; S.É. ;S.V.; É.I.  ;Fernand             ;Gabrielle           ;Jacques P.          ;Jose                ;Bill                ;B.V.  ;B.R.
MUNICIPALITÉS                      ;      ;    ;       ;P.M.L.Q.       ;P.Q.           ;P.L.Q./Q.L.P.  ;A.D.Q./É.M.D.  ;Q.S.           ;      ;    
Montréal,v  (p)                    ;021.00;1;302;1;47;88;8;8;152;0
Montréal,v  (p)                    ;021.00;2;261;0;0;0;0;0;0;0
Montréal,v  (p)                    ;021.00;3;304;0;18;100;4;4;126;0
Montréal,v  (p)                    ;021.00;4;299;1;13;117;5;6;142;0
Montréal,v  (p)                    ;021.00;5;302;1;27;109;4;4;145;0
Montréal,v  (p)                    ;021.00;6;316;0;20;132;1;5;158;1
Montréal,v  (p)                    ;021.00;7;307;1;14;100;6;1;122;1
Montréal,v  (p)                    ;021.00;8;302;1;19;106;4;8;138;1
Montréal,v  (p)                    ;021.00;9;296;1;41;120;9;5;176;4
Montréal,v  (p)                    ;021.00;10;300;0;12;109;2;3;126;2
TOTAL DU SECTEUR                   ;      ;    ;2989;6;211;981;43;44;1285;9
Montréal,v  (p)                    ;022.00;11;301;0;4;85;3;1;93;0
Montréal,v  (p)                    ;022.00;12;290;0;7;91;10;0;108;0
Montréal,v  (p)                    ;022.00;13;306;0;17;88;12;3;120;1
Montréal,v  (p)                    ;022.00;14;298;4;20;101;8;11;144;2
Montréal,v  (p)                    ;022.00;15;313;1;31;83;11;3;129;1
Montréal,v  (p)                    ;022.00;16;312;0;17;84;9;6;116;1
Montréal,v  (p)                    ;022.00;17;296;1;15;36;5;3;60;1
Montréal,v  (p)                    ;022.00;18;134;0;0;0;0;0;0;0
Montréal,v  (p)                    ;022.00;19;40;0;0;0;0;0;0;0
Montréal,v  (p)                    ;022.00;20;310;0;36;46;8;8;98;0
TOTAL DU SECTEUR                   ;      ;    ;2600;6;147;614;66;35;868;6
Montréal,v  (p)                    ;023.00;21;302;1;38;48;9;15;111;0
Montréal,v  (p)                    ;023.00;22;295;0;46;52;10;7;115;1
Montréal,v  (p)                    ;023.00;23;302;0;24;27;12;1;64;0
Montréal,v  (p)                    ;023.00;24;306;1;22;44;11;4;82;2
Montréal,v  (p)                    ;023.00;25;293;1;10;19;9;6;45;2
Montréal,v  (p)                    ;023.00;26;320;0;15;39;8;4;66;2
Montréal,v  (p)                    ;023.00;27;305;0;32;56;10;14;112;2
Montréal,v  (p)                    ;023.00;28;304;0;29;75;4;5;113;3
Montréal,v  (p)                    ;023.00;29;171;0;0;0;0;0;0;0
Montréal,v  (p)                    ;023.00;30;298;0;61;87;10;8;166;3
Montréal,v  (p)                    ;023.00;31;299;1;44;51;6;6;108;2
TOTAL DU SECTEUR                   ;      ;    ;3195;4;321;498;89;70;982;17
Montréal,v  (p)                    ;024.00;32;275;0;23;66;11;5;105;3
Montréal,v  (p)                    ;024.00;33;285;0;56;71;8;17;152;2
Montréal,v  (p)                    ;024.00;34;284;0;39;81;5;13;138;0
Montréal,v  (p)                    ;024.00;35;266;0;60;71;5;14;150;0
Montréal,v  (p)                    ;024.00;36;275;1;86;53;10;11;161;2
Montréal,v  (p)                    ;024.00;37;281;0;87;32;6;5;130;4
TOTAL DU SECTEUR                   ;      ;    ;1666;1;351;374;45;65;836;11
Montréal,v  (p)                    ;025.00;38;292;0;26;110;2;1;139;2
Montréal,v  (p)                    ;025.00;39;299;2;38;105;9;6;160;0
Montréal,v  (p)                    ;025.00;40;290;4;17;106;6;2;135;3
Montréal,v  (p)                    ;025.00;41;290;0;31;61;9;6;107;1
Montréal,v  (p)                    ;025.00;42;282;1;18;50;2;2;73;0
Montréal,v  (p)                    ;025.00;43;284;0;28;50;7;7;92;1
Montréal,v  (p)                    ;025.00;44;306;0;17;33;3;6;59;2
TOTAL DU SECTEUR                   ;      ;    ;2043;7;175;515;38;30;765;9
Montréal,v  (p)                    ;026.00;45;288;1;8;58;4;5;76;1
Montréal,v  (p)                    ;026.00;46;279;0;15;78;0;8;101;0
Montréal,v  (p)                    ;026.00;47;283;0;31;79;11;7;128;0
Montréal,v  (p)                    ;026.00;48;291;1;13;58;6;2;80;1
Montréal,v  (p)                    ;026.00;49;274;1;7;79;5;6;98;1
Montréal,v  (p)                    ;026.00;50;325;0;4;67;5;3;79;2
Montréal,v  (p)                    ;026.00;51;274;0;2;42;2;0;46;3
Montréal,v  (p)                    ;026.00;52;276;0;6;49;7;2;64;4
Montréal,v  (p)                    ;026.00;53;276;2;11;59;1;3;76;2
Montréal,v  (p)                    ;026.00;54;284;2;6;55;2;0;65;3
Montréal,v  (p)                    ;026.00;55;290;1;3;62;2;0;68;0
TOTAL DU SECTEUR                   ;      ;    ;3140;8;106;686;45;36;881;17
Montréal,v  (p)                    ;027.00;56;310;1;6;84;2;4;97;0
Montréal,v  (p)                    ;027.00;57;302;1;27;65;5;3;101;2
Montréal,v  (p)                    ;027.00;58;293;0;5;82;2;0;89;2
Montréal,v  (p)                    ;027.00;59;303;0;8;79;3;1;91;2
Montréal,v  (p)                    ;027.00;60;299;0;5;94;3;3;105;0
Montréal,v  (p)                    ;027.00;61;298;1;1;94;2;4;102;0
Montréal,v  (p)                    ;027.00;62;314;0;8;91;7;5;111;1
Montréal,v  (p)                    ;027.00;63;296;0;20;109;5;6;140;0
Montréal,v  (p)                    ;027.00;64;306;1;16;102;4;1;124;1
TOTAL DU SECTEUR                   ;      ;    ;2721;4;96;800;33;27;960;8
Montréal,v  (p)                    ;028.00;65;287;0;8;84;5;6;103;1
Montréal,v  (p)                    ;028.00;66;280;1;19;103;8;4;135;2
Montréal,v  (p)                    ;028.00;67;297;0;13;73;9;0;95;4
Montréal,v  (p)                    ;028.00;68;286;0;16;101;6;8;131;2
Montréal,v  (p)                    ;028.00;69;284;1;5;91;4;1;102;1
Montréal,v  (p)                    ;028.00;70;297;0;14;82;3;0;99;0
Montréal,v  (p)                    ;028.00;71;284;0;12;79;4;1;96;1
Montréal,v  (p)                    ;028.00;72;290;1;7;106;3;1;118;1
Montréal,v  (p)                    ;028.00;73;287;0;3;67;3;2;75;1
Montréal,v  (p)                    ;028.00;74;292;0;5;77;1;1;84;0
Montréal,v  (p)                    ;028.00;75;279;0;16;77;5;2;100;0
Montréal,v  (p)                    ;028.00;76;284;0;9;101;4;1;115;1
Montréal,v  (p)                    ;028.00;77;297;0;8;60;2;1;71;5
Montréal,v  (p)                    ;028.00;78;278;3;18;65;2;4;92;2
Montréal,v  (p)                    ;028.00;79;304;0;23;86;9;5;123;0
Montréal,v  (p)                    ;028.00;80;292;0;14;62;5;0;81;0
Montréal,v  (p)                    ;028.00;81;288;0;16;62;2;0;80;0
Montréal,v  (p)                    ;028.00;82;298;1;16;75;3;0;95;0
TOTAL DU SECTEUR                   ;      ;    ;5204;7;222;1451;78;37;1795;21
Montréal,v  (p)                    ;029.00;83;308;0;6;49;9;5;69;1
Montréal,v  (p)                    ;029.00;84;279;0;7;51;4;2;64;1
Montréal,v  (p)                    ;029.00;85;282;0;1;80;3;1;85;1
Montréal,v  (p)                    ;029.00;86;302;0;6;48;1;0;55;0
Montréal,v  (p)                    ;029.00;87;276;0;0;74;2;2;78;0
Montréal,v  (p)                    ;029.00;88;100;0;0;0;0;0;0;0
Montréal,v  (p)                    ;029.00;89;322;1;3;75;5;2;86;2
Montréal,v  (p)                    ;029.00;90;309;2;4;93;6;3;108;1
Montréal,v  (p)                    ;029.00;91;295;1;5;78;2;3;89;1
Montréal,v  (p)                    ;029.00;92;313;0;5;71;2;2;80;1
Montréal,v  (p)                    ;029.00;93;317;0;6;71;3;6;86;0
Montréal,v  (p)                    ;029.00;94;291;0;14;67;4;1;86;0
Montréal,v  (p)                    ;029.00;95;283;0;9;68;7;3;87;1
Montréal,v  (p)                    ;029.00;96;295;0;15;87;6;1;109;4
Montréal,v  (p)                    ;029.00;97;286;1;17;59;9;7;93;2
Montréal,v  (p)                    ;029.00;98;296;1;28;60;6;1;96;0
Montréal,v  (p)                    ;029.00;99;293;0;10;74;3;3;90;2
Montréal,v  (p)                    ;029.00;100;294;0;15;60;4;3;82;0
Montréal,v  (p)                    ;029.00;101;277;0;0;0;0;0;0;0
Montréal,v  (p)                    ;029.00;102;287;0;10;76;4;1;91;0
Montréal,v  (p)                    ;029.00;103;297;0;18;60;11;2;91;2
Montréal,v  (p)                    ;029.00;104;291;2;34;43;3;1;83;2
TOTAL DU SECTEUR                   ;      ;    ;6293;8;213;1344;94;49;1708;21
Montréal,v  (p)                    ;030.00;105;271;0;7;36;9;1;53;3
Montréal,v  (p)                    ;030.00;106;270;0;4;73;8;3;88;0
Montréal,v  (p)                    ;030.00;107;266;0;13;49;6;4;72;1
Montréal,v  (p)                    ;030.00;108;269;1;24;71;3;1;100;0
Montréal,v  (p)                    ;030.00;109;279;2;7;64;3;2;78;0
TOTAL DU SECTEUR                   ;      ;    ;1355;3;55;293;29;11;391;4
Montréal,v  (p)                    ;031.00;110;290;1;6;52;3;10;72;4
Montréal,v  (p)                    ;031.00;111;288;0;27;97;4;12;140;1
Montréal,v  (p)                    ;031.00;112;307;1;16;72;4;4;97;1
Montréal,v  (p)                    ;031.00;113;299;0;32;60;7;3;102;3
Montréal,v  (p)                    ;031.00;114;291;1;23;100;4;4;132;0
TOTAL DU SECTEUR                   ;      ;    ;1475;3;104;381;22;33;543;9
Montréal,v  (p)                    ;032.00;115;282;2;20;59;3;2;86;1
Montréal,v  (p)                    ;032.00;116;285;1;10;67;5;2;85;0
Montréal,v  (p)                    ;032.00;117;287;0;3;46;5;2;56;2
Montréal,v  (p)                    ;032.00;118;296;0;14;66;1;1;82;2
Montréal,v  (p)                    ;032.00;119;296;2;12;51;2;1;68;1
TOTAL DU SECTEUR                   ;      ;    ;1446;5;59;289;16;8;377;6
Montréal,v  (p)                    ;033.00;120;301;0;8;48;7;6;69;0
Montréal,v  (p)                    ;033.00;121;298;0;18;55;5;0;78;1
Montréal,v  (p)                    ;033.00;122;317;3;5;52;9;1;70;0
