ÉLECTION PARTIELLE DU 2010/09/13;;;;;;;;;;
CIRCONSCRIPTION                    ;      ;    ;       ;Fiorilo             ;Fournier            ;Landry              ;Leclerc             ;Pigeon              ;      ;    
Saint-Laurent                      ; S.É. ;S.V.; É.I.  ;Jose                ;Jean-Marc           ;Tim                 ;Philippe            ;Marie Josèphe       ;B.V.  ;B.R.
MUNICIPALITÉS                      ;      ;    ;       ;A.D.Q.         ;P.L.Q./Q.L.P.  ;P.V.Q./G.P.Q.  ;P.Q.           ;Q.S.           ;      ;    
Montréal,v  (p)                    ;021.00;1;293;4;22;3;23;6;58;0
Montréal,v  (p)                    ;021.00;2;254;0;0;0;0;0;0;0
Montréal,v  (p)                    ;021.00;3;296;7;40;1;13;2;63;1
Montréal,v  (p)                    ;021.00;4;244;4;30;0;4;0;38;0
Montréal,v  (p)                    ;021.00;5;286;15;44;4;10;7;80;1
Montréal,v  (p)                    ;021.00;6;367;8;67;4;16;1;96;2
Montréal,v  (p)                    ;021.00;7;296;7;29;1;8;0;45;4
Montréal,v  (p)                    ;021.00;8;297;6;46;6;19;0;77;1
Montréal,v  (p)                    ;021.00;9;303;12;64;6;24;14;120;2
Montréal,v  (p)                    ;021.00;10;287;3;46;4;5;3;61;0
TOTAL DU SECTEUR                   ;      ;    ;2923;66;388;29;122;33;638;11
Montréal,v  (p)                    ;022.00;11;289;1;25;1;3;1;31;0
Montréal,v  (p)                    ;022.00;12;277;5;36;2;1;1;45;2
Montréal,v  (p)                    ;022.00;13;285;5;34;3;8;2;52;0
Montréal,v  (p)                    ;022.00;14;298;9;45;6;10;6;76;1
Montréal,v  (p)                    ;022.00;15;317;6;44;1;21;4;76;0
Montréal,v  (p)                    ;022.00;16;280;0;29;2;16;1;48;0
Montréal,v  (p)                    ;022.00;17;346;4;22;1;10;2;39;1
Montréal,v  (p)                    ;022.00;18;121;0;0;0;0;0;0;0
Montréal,v  (p)                    ;022.00;19;51;0;0;0;0;0;0;0
Montréal,v  (p)                    ;022.00;20;279;5;17;3;15;8;48;0
TOTAL DU SECTEUR                   ;      ;    ;2543;35;252;19;84;25;415;4
Montréal,v  (p)                    ;023.00;21;315;8;25;8;29;7;77;0
Montréal,v  (p)                    ;023.00;22;286;0;28;0;34;8;70;1
Montréal,v  (p)                    ;023.00;23;285;2;21;0;6;2;31;0
Montréal,v  (p)                    ;023.00;24;303;2;17;4;13;2;38;0
Montréal,v  (p)                    ;023.00;25;345;2;18;2;7;2;31;2
Montréal,v  (p)                    ;023.00;26;270;3;23;1;6;1;34;0
Montréal,v  (p)                    ;023.00;27;309;6;22;4;12;14;58;1
Montréal,v  (p)                    ;023.00;28;297;1;52;3;9;5;70;2
Montréal,v  (p)                    ;023.00;29;157;0;0;0;0;0;0;0
Montréal,v  (p)                    ;023.00;30;329;6;48;6;59;6;125;0
Montréal,v  (p)                    ;023.00;31;275;8;18;7;32;10;75;1
TOTAL DU SECTEUR                   ;      ;    ;3171;38;272;35;207;57;609;7
Montréal,v  (p)                    ;024.00;32;274;1;41;1;18;3;64;1
Montréal,v  (p)                    ;024.00;33;282;2;31;5;38;12;88;0
Montréal,v  (p)                    ;024.00;34;288;8;33;3;16;11;71;2
Montréal,v  (p)                    ;024.00;35;271;4;28;5;37;11;85;0
Montréal,v  (p)                    ;024.00;36;282;6;24;4;53;6;93;0
